review_id,product_id,customer_id,rating,review_text,review_date
1,1,21,2,"Great product, loved it!","2024-11-07 02:40:51"
2,9,27,4,"Product arrived damaged, had to return.","2025-06-08 02:40:51"
3,42,21,5,"Very fast delivery, happy with the purchase.","2024-10-01 02:40:51"
4,13,28,2,"Average quality, but acceptable.","2024-12-23 02:40:51"
5,45,9,4,"Good value for money.","2024-10-07 02:40:51"
6,47,30,5,"Product arrived damaged, had to return.","2024-07-06 02:40:51"
7,6,25,4,"Product arrived damaged, had to return.","2024-11-10 02:40:51"
8,27,29,5,"Great product, loved it!","2024-08-02 02:40:51"
9,5,13,1,"Average quality, but acceptable.","2024-11-09 02:40:51"
10,49,23,3,"Product arrived damaged, had to return.","2025-05-19 02:40:51"
11,6,10,3,"Good value for money.","2025-03-29 02:40:51"
12,31,22,5,"Good value for money.","2024-08-20 02:40:51"
13,49,14,4,"Good value for money.","2024-08-28 02:40:51"
14,4,17,2,"Didn't meet expectations.","2024-06-21 02:40:51"
15,30,13,4,"Would definitely recommend.","2024-10-26 02:40:51"
16,14,1,2,"Not worth the price.","2025-02-14 02:40:51"
17,33,26,2,"Excellent build quality!","2025-05-05 02:40:51"
18,50,15,1,"Didn't meet expectations.","2025-04-11 02:40:51"
19,11,22,1,"Great product, loved it!","2025-06-08 02:40:51"
20,44,25,5,"Exactly as described, works well.","2025-03-27 02:40:51"
21,1,1,5,"Great product, loved it!","2024-09-15 02:40:51"
22,25,10,5,"Product arrived damaged, had to return.","2025-06-01 02:40:51"
23,21,2,1,"Average quality, but acceptable.","2024-10-24 02:40:51"
24,18,7,3,"Exactly as described, works well.","2024-11-24 02:40:51"
25,12,27,5,"Exactly as described, works well.","2025-05-27 02:40:51"
26,4,4,5,"Product arrived damaged, had to return.","2024-06-29 02:40:51"
27,11,23,3,"Average quality, but acceptable.","2025-02-13 02:40:51"
28,7,11,4,"Very fast delivery, happy with the purchase.","2025-04-28 02:40:51"
29,39,15,4,"Good value for money.","2024-11-10 02:40:51"
30,5,19,4,"Exactly as described, works well.","2024-11-30 02:40:51"
31,37,22,1,"Excellent build quality!","2025-03-24 02:40:51"
32,42,17,5,"Great product, loved it!","2025-06-07 02:40:51"
33,6,22,3,"Would definitely recommend.","2024-12-27 02:40:51"
34,29,28,1,"Very fast delivery, happy with the purchase.","2024-08-11 02:40:51"
35,42,21,4,"Product arrived damaged, had to return.","2025-04-07 02:40:51"
36,17,13,3,"Average quality, but acceptable.","2024-11-27 02:40:51"
37,1,17,5,"Would definitely recommend.","2025-01-31 02:40:51"
38,2,29,4,"Very fast delivery, happy with the purchase.","2025-06-05 02:40:51"
39,21,15,1,"Exactly as described, works well.","2025-06-09 02:40:51"
40,31,19,1,"Didn't meet expectations.","2024-09-02 02:40:51"
41,8,6,5,"Great product, loved it!","2025-05-23 02:40:51"
42,49,1,2,"Would definitely recommend.","2024-09-21 02:40:51"
43,13,1,3,"Would definitely recommend.","2025-01-24 02:40:51"
44,12,6,5,"Great product, loved it!","2025-02-14 02:40:51"
45,26,17,2,"Didn't meet expectations.","2024-10-11 02:40:51"
46,18,29,4,"Good value for money.","2025-03-07 02:40:51"
47,32,22,5,"Product arrived damaged, had to return.","2025-03-07 02:40:51"
48,43,20,1,"Excellent build quality!","2024-06-30 02:40:51"
49,10,13,5,"Good value for money.","2024-12-20 02:40:51"
50,38,27,2,"Excellent build quality!","2025-04-26 02:40:51"
